n_agents,instance,cbs_success,cbs_time,cbs_cost,cbs_ct_nodes,cbs_ll_calls,baseline_success,baseline_time,baseline_cost,baseline_conflicts
6,4,True,0.0025992393493652344,64,2,8,True,3.791804552078247,156,0
6,5,True,0.0021779537200927734,80,2,8,True,1.406447410583496,144,0
6,6,True,0.017516613006591797,90,12,28,True,2.927053928375244,228,0
6,7,True,0.0010104179382324219,61,1,6,False,5.003455638885498,,
6,8,True,0.0023012161254882812,104,2,8,True,3.304593563079834,330,0
6,9,True,0.0018270015716552734,83,1,6,False,5.019983530044556,,
6,10,True,0.0018298625946044922,73,2,8,False,5.120435476303101,,
6,11,True,0.0024178028106689453,106,1,6,False,5.098279714584351,,
6,12,True,0.011268854141235352,73,16,36,False,5.000044822692871,,
6,13,True,0.0022461414337158203,67,2,8,False,5.006985664367676,,
6,14,False,0.27477407455444336,,0,2,False,5.0019211769104,,
6,15,True,0.0008511543273925781,64,2,8,False,5.0000035762786865,,
6,16,True,0.001783609390258789,94,1,6,True,2.9587905406951904,228,0
6,17,True,0.0019109249114990234,77,3,10,True,3.088726043701172,192,0
6,18,True,0.0036056041717529297,103,3,10,False,5.0052361488342285,,
6,19,True,0.0012276172637939453,86,1,6,True,3.41980242729187,240,0
6,20,True,0.021050214767456055,106,4,12,False,5.000260829925537,,
6,21,False,0.0014815330505371094,,0,6,False,5.00082540512085,,
6,22,True,0.013561725616455078,91,17,38,False,5.057603597640991,,
6,23,True,0.0022149085998535156,98,2,8,False,5.0034260749816895,,
6,24,True,0.003108501434326172,82,4,12,False,5.003477096557617,,
8,0,True,0.0018875598907470703,101,1,8,False,5.000953912734985,,
8,1,True,0.0009748935699462891,62,1,8,False,5.004975318908691,,
8,2,True,0.0019478797912597656,106,1,8,False,5.002678871154785,,
8,3,True,0.0036318302154541016,139,3,12,False,5.081867456436157,,
8,4,True,0.002577066421508789,120,1,8,False,5.005056142807007,,
8,5,True,0.0031104087829589844,140,1,8,False,5.0056939125061035,,
8,6,True,0.007781267166137695,151,6,18,False,5.0005106925964355,,
8,7,True,0.0029001235961914062,126,1,8,False,5.103014230728149,,
8,8,True,0.013517379760742188,125,3,12,False,5.006134986877441,,
8,9,True,0.0053408145904541016,110,9,24,False,5.007139682769775,,
8,10,True,0.0010623931884765625,64,2,10,False,5.000830411911011,,
8,11,True,0.008241415023803711,108,6,18,False,5.0307230949401855,,
8,12,True,0.0034651756286621094,84,2,10,False,5.009251117706299,,
8,13,True,0.004476070404052734,109,5,16,False,5.000602960586548,,
8,14,True,0.03275179862976074,135,18,42,False,5.0038816928863525,,
8,15,True,0.004101753234863281,136,2,10,False,5.003334999084473,,
8,16,True,0.003076791763305664,95,8,22,False,5.00031042098999,,
8,17,True,0.0033686161041259766,111,4,14,False,5.006510257720947,,
8,18,True,0.0053844451904296875,109,9,24,False,5.005082845687866,,
8,19,True,0.019699573516845703,110,7,20,False,5.099371433258057,,
8,20,True,0.006485462188720703,141,3,12,False,5.002492189407349,,
8,21,True,0.004880428314208984,114,3,12,False,5.008038520812988,,
8,22,True,0.04509115219116211,137,34,74,False,5.003784418106079,,
8,23,True,0.0025415420532226562,121,2,10,False,5.003544569015503,,
8,24,True,0.005576372146606445,104,4,14,False,5.003921985626221,,
10,0,True,0.008749723434448242,129,8,24,False,5.0040647983551025,,
10,1,True,0.010219335556030273,122,4,16,False,5.010945081710815,,
10,2,True,0.0018436908721923828,119,1,10,False,5.009235620498657,,
10,3,False,0.0007731914520263672,,0,4,False,5.051245212554932,,
10,4,True,0.0036230087280273438,109,5,18,False,5.005919694900513,,
10,5,True,0.01965785026550293,136,3,14,False,5.05212664604187,,
10,6,True,0.0032432079315185547,118,1,10,False,5.012268781661987,,
10,7,True,0.005243539810180664,142,2,12,False,5.000738620758057,,
10,8,True,0.010435342788696289,174,8,24,False,5.004493474960327,,
10,9,True,0.0195770263671875,119,31,70,False,5.0085084438323975,,
10,10,True,0.04013848304748535,144,24,56,False,5.002001047134399,,
10,11,True,0.015071392059326172,150,6,20,False,5.005495071411133,,
10,12,True,0.01709437370300293,127,20,48,False,5.0104382038116455,,
10,13,True,0.008124828338623047,138,4,16,False,5.009355783462524,,
10,14,True,0.008028745651245117,151,9,26,False,5.003561973571777,,
10,15,True,0.0045053958892822266,139,2,12,False,5.039253234863281,,
10,16,True,0.005057096481323242,127,3,14,False,5.004197120666504,,
10,17,True,0.012499570846557617,127,4,16,False,5.005121946334839,,
10,18,True,0.0034227371215820312,118,4,16,False,5.000522136688232,,
10,19,True,0.004763603210449219,154,3,14,False,5.010879755020142,,
10,20,True,0.10710930824279785,123,97,202,False,5.003032922744751,,
10,21,True,0.003047466278076172,109,2,12,False,5.010146856307983,,
10,22,True,0.00453639030456543,137,1,10,False,5.003018617630005,,
10,23,True,0.025975465774536133,144,20,48,False,5.012449264526367,,
10,24,True,0.06083512306213379,127,43,94,False,5.005055665969849,,
12,0,True,0.0036950111389160156,125,4,18,False,5.0099937915802,,
12,1,True,0.06638956069946289,186,73,156,False,5.013360500335693,,
12,2,False,5.002748250961304,,1243,2498,False,5.007188558578491,,
12,3,True,0.39234328269958496,144,482,974,False,5.003381729125977,,
12,4,True,0.021200895309448242,168,15,40,False,5.009659290313721,,
12,5,True,0.00887298583984375,154,10,30,False,5.0038902759552,,
12,6,True,0.0069429874420166016,176,6,22,False,5.000990152359009,,
12,7,True,0.021334171295166016,192,15,40,False,5.012735366821289,,
12,8,True,0.010339736938476562,187,9,28,False,5.007309436798096,,
12,9,True,0.0956568717956543,188,73,156,False,5.002765655517578,,
12,10,True,0.005913734436035156,162,5,20,False,5.006913661956787,,
12,11,True,0.6476380825042725,147,741,1492,False,5.00476861000061,,
12,12,True,0.00944828987121582,149,6,22,False,5.002576589584351,,
12,13,True,0.010611772537231445,115,8,26,False,5.004973888397217,,
12,14,True,0.021123647689819336,148,12,34,False,5.0001068115234375,,
12,15,True,0.007385969161987305,176,3,16,False,5.006006956100464,,
12,16,True,0.14963221549987793,141,106,222,False,5.009434700012207,,
12,17,True,0.014795303344726562,172,12,34,False,5.00300145149231,,
12,18,True,0.11064314842224121,148,40,90,False,5.006663084030151,,
12,19,True,0.001806020736694336,114,1,12,False,5.002324819564819,,
12,20,True,0.08390998840332031,176,47,104,False,5.015291213989258,,
12,21,True,0.009438753128051758,153,7,24,False,5.00442361831665,,
12,22,True,0.004060983657836914,148,4,18,False,5.00571870803833,,
12,23,True,0.009540081024169922,171,11,32,False,5.006775140762329,,
12,24,True,0.013226747512817383,155,4,18,False,5.005703926086426,,
15,0,True,0.04383659362792969,182,47,107,False,5.001739978790283,,
15,1,True,1.295900583267212,203,521,1055,False,5.000570774078369,,
15,2,False,5.005096912384033,,1673,3361,False,5.008014678955078,,
15,3,True,0.07414484024047852,144,86,185,False,5.0072503089904785,,
15,4,True,0.018794536590576172,186,15,43,False,5.006963491439819,,
15,5,True,0.16393780708312988,212,100,213,False,5.011886119842529,,
15,6,True,0.05343461036682129,246,34,81,False,5.000333786010742,,
15,7,True,1.8983638286590576,260,1064,2141,False,5.006489515304565,,
15,8,True,0.05016303062438965,200,51,115,False,5.002528667449951,,
15,9,True,0.008968591690063477,219,4,21,False,5.015203237533569,,
15,10,False,0.0019443035125732422,,0,11,False,5.007007598876953,,
15,11,True,3.5169169902801514,188,2377,4767,False,5.004580974578857,,
15,12,False,5.0003252029418945,,7368,14751,False,5.0069191455841064,,
15,13,True,0.5059525966644287,190,304,621,False,5.00607442855835,,
15,14,False,0.30296969413757324,,0,14,False,5.004586935043335,,
15,15,True,0.3583965301513672,197,280,573,False,5.004918098449707,,
15,16,True,0.01999187469482422,189,14,41,False,5.0175299644470215,,
15,17,False,5.000004768371582,,4832,9679,False,5.000917196273804,,
15,18,False,5.0001466274261475,,6172,12359,False,5.0041282176971436,,
15,19,True,0.1765761375427246,221,169,351,False,5.002330541610718,,
15,20,True,0.47812318801879883,280,271,555,False,5.008294343948364,,
15,21,False,0.30621814727783203,,0,5,False,5.009566783905029,,
15,22,True,0.02661609649658203,160,12,37,False,5.0094215869903564,,
15,23,False,5.0004308223724365,,5775,11565,False,5.011690378189087,,
15,24,False,5.000424861907959,,6236,12487,False,5.014980316162109,,
18,0,True,0.04379105567932129,232,37,90,False,5.006180047988892,,
18,1,True,0.9721131324768066,291,277,570,False,5.01283860206604,,
18,2,False,5.002763271331787,,3367,6752,False,5.000799655914307,,
18,3,False,5.000200033187866,,5733,11484,False,5.003627300262451,,
18,4,True,0.4487612247467041,240,294,604,False,5.017775058746338,,
18,5,True,0.44057393074035645,276,393,802,False,5.001922607421875,,
18,6,True,0.027573347091674805,217,42,100,False,5.005177736282349,,
18,7,True,0.04254412651062012,221,28,72,False,5.007826328277588,,
18,8,True,1.1828572750091553,200,1683,3382,False,5.009034633636475,,
18,9,False,5.000040769577026,,2414,4846,False,5.013236045837402,,
18,10,True,0.1957988739013672,195,74,164,False,5.001585483551025,,
18,11,True,0.7100734710693359,269,443,902,False,5.014506578445435,,
18,12,True,0.18668484687805176,232,173,362,False,5.01995587348938,,
18,13,True,0.06286740303039551,207,71,158,False,5.0128014087677,,
18,14,False,0.2828986644744873,,0,5,False,5.050544738769531,,
18,15,False,5.000197887420654,,5861,11740,False,5.005759954452515,,
18,16,True,0.34812211990356445,234,231,478,False,5.014245510101318,,
